시군구명,id,mean_safty,mean_after
가평군,41820,2.2,22.5
고양시 덕양구,41281,2.1,17.4
고양시 일산동구,41285,2.4,23.1
고양시 일산서구,41287,2.1,19.0
과천시,41290,2.1,32.4
광명시,41210,1.8,20.4
광주시,41610,1.9,22.1
구리시,41310,2.0,19.3
군포시,41410,2.1,24.0
김포시,41570,2.1,17.6
남양주시,41360,2.0,19.1
동두천시,41250,2.0,15.2
부천시,41190,2.1,26.7
성남시 분당구,41135,2.1,25.0
성남시 수정구,41131,2.2,24.5
성남시 중원구,41133,2.3,21.0
수원시 권선구,41113,2.0,22.6
수원시 영통구,41117,1.9,15.6
수원시 장안구,41111,2.1,24.3
수원시 팔달구,41115,2.1,24.2
시흥시,41390,1.9,18.5
안산시 단원구,41273,1.9,23.1
안산시 상록구,41271,2.0,24.5
안성시,41550,2.0,20.6
안양시 동안구,41173,2.1,25.4
안양시 만안구,41171,2.0,21.0
양주시,41630,2.0,17.8
양평군,41830,2.1,22.0
여주시,41670,2.0,17.9
연천군,41800,2.0,17.9
오산시,41370,2.0,22.6
용인시,41460,2.0,18.4
용인시 기흥구,41463,2.0,21.5
용인시 수지구,41465,2.0,20.9
용인시 처인구,41461,2.1,21.3
의왕시,41430,2.0,23.0
의정부시,41150,2.0,12.5
이천시,41500,1.8,20.4
파주시,41480,2.1,19.0
평택시,41220,1.9,20.6
포천시,41650,1.9,15.4
하남시,41450,1.9,25.5
화성시,41590,1.8,15.8
